team_id,team_name,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,penalties,pressures_allowed,sacks_allowed
275,VA TECH,62.290909090909096,57.4304347826087,59.35476190476191,8,70,36,100,22
271,VANDERBILT,61.38333333333334,56.075,58.875,25,80,51,111,6
273,VIRGINIA,60.61904761904762,51.875,60.18333333333333,22,98,38,149,29
289,W KENTUCKY,64.31666666666666,65.48636363636363,59.51111111111111,14,66,37,93,13
290,W MICHIGAN,64.35454545454546,61.148,61.7952380952381,15,51,24,83,17
285,W VIRGINIA,64.44878048780488,56.388888888888886,62.9875,13,71,43,94,10
279,WAKE,62.73939393939394,60.26,59.74848484848485,18,71,48,114,25
282,WASH STATE,63.30263157894737,71.71666666666667,56.697297297297304,8,59,49,74,7
281,WASHINGTON,63.166666666666664,57.645,59.551515151515154,29,107,35,165,29
294,WISCONSIN,64.36744186046512,68.45238095238095,60.67380952380953,6,52,44,65,7
