team_id,team_name,batted_passes,forced_fumbles,fumble_recoveries,grades_coverage_defense,grades_defense,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,stops,tackles,tackles_for_loss,total_pressures,touchdowns,yards,yards_after_catch
241,TEXAS A&M,21,7,4,61.46774193548387,66.05,64.00277777777778,65.60000000000001,63.06052631578948,38,172,16,149,34,51,35.48,227,26.0,0,314,567,68.0,236,20,3019,1636
243,TEXAS ST,2,16,10,61.400000000000006,64.9093023255814,63.93714285714286,66.35813953488372,63.55365853658536,57,154,9,126,27,47,51.26511627906977,231,41.0,0,345,580,55.0,252,13,2782,1358
244,TEXAS TECH,4,9,8,58.78947368421053,59.40851063829787,62.78857142857142,61.21219512195122,54.791666666666664,45,138,14,184,21,37,47.58723404255319,303,21.0,1,314,632,45.0,204,28,4026,2258
246,TOLEDO,8,11,6,63.54482758620689,64.44186046511628,64.60000000000001,64.2357142857143,62.425,35,142,13,121,35,36,45.68139534883721,244,40.0,0,362,639,52.0,217,16,2690,1057
248,TROY,2,5,2,62.14545454545455,62.46153846153846,61.16428571428571,63.862162162162164,62.06875,31,88,6,140,27,38,52.325641025641026,221,18.0,0,287,534,57.0,137,13,2654,1193
249,TULANE,8,11,7,62.9939393939394,66.22307692307692,66.640625,62.64871794871795,62.518918918918914,41,152,14,134,22,31,54.57179487179488,235,35.0,0,339,592,47.0,228,13,2486,1401
250,TULSA,3,8,6,54.061290322580646,60.65853658536585,64.25151515151515,61.71707317073171,57.52894736842105,45,138,9,166,20,24,68.68048780487806,260,23.0,1,327,591,59.0,206,38,3776,2139
252,UAB,7,5,3,61.699999999999996,59.766666666666666,63.93125,57.91428571428572,60.58717948717949,15,110,8,132,26,43,46.2952380952381,174,20.0,0,286,576,28.0,145,18,2162,991
255,UCF,6,7,3,62.28333333333333,64.30238095238094,62.13703703703704,64.89285714285714,65.1,39,125,9,124,21,37,44.06904761904762,245,25.0,0,316,541,58.0,189,21,2615,1170
256,UCLA,6,7,2,63.175000000000004,61.47647058823529,61.51428571428572,62.04705882352941,65.38461538461539,29,93,10,109,35,46,49.55882352941177,269,30.0,0,251,518,40.0,152,19,2931,1460
257,UCONN,15,7,4,64.79230769230769,63.854285714285716,61.6,63.27428571428571,62.332,38,139,10,143,33,31,48.08571428571429,268,31.0,0,339,611,50.0,208,16,2791,1451
130,UMASS,5,5,3,59.987096774193546,59.95227272727273,61.322857142857146,59.97179487179488,68.10303030303031,30,72,6,99,20,43,41.27727272727273,156,18.0,0,248,509,31.0,120,19,2119,1191
259,UNLV,12,6,7,64.06818181818181,64.75510204081633,64.83928571428571,62.57659574468085,63.542857142857144,37,159,17,147,50,47,41.68163265306123,296,49.0,0,344,621,53.0,245,20,3302,1363
260,USC,9,4,3,64.14358974358974,64.7279069767442,62.52333333333333,62.56666666666667,66.62121212121212,34,129,12,113,21,33,51.65581395348837,296,23.0,0,301,607,31.0,186,15,3028,1730
219,USF,9,14,12,61.26486486486487,62.84468085106383,64.46153846153847,63.48297872340425,63.1425,50,211,12,155,38,57,58.5404255319149,279,33.0,0,363,653,70.0,294,23,3629,1922
266,UTAH,18,6,5,62.28709677419355,64.62647058823529,61.82666666666667,63.4470588235294,57.52121212121212,42,144,12,138,27,28,51.01764705882353,199,25.0,0,292,505,51.0,211,15,2402,1034
267,UTAH ST,2,6,2,61.2,59.661702127659574,61.26111111111111,58.23777777777777,60.8575,55,109,13,165,20,38,49.4595744680851,267,29.0,0,298,624,44.0,193,28,3060,1797
262,UTEP,3,7,6,59.74193548387097,61.34571428571428,62.03448275862069,61.81428571428572,63.49117647058823,22,90,11,133,19,26,58.339999999999996,218,42.0,0,337,591,51.0,154,23,2700,1452
263,UTSA,16,14,10,60.710256410256406,64.28541666666666,67.02631578947368,66.8,60.535000000000004,52,153,11,155,31,55,48.36041666666667,242,48.0,0,375,578,67.0,253,28,3440,1764
275,VA TECH,8,11,9,61.016216216216215,63.16808510638298,64.81212121212121,62.8860465116279,65.5,45,163,15,118,31,31,44.84893617021277,220,39.0,0,327,588,43.0,247,20,2796,1437
271,VANDERBILT,12,7,6,61.50882352941177,62.802702702702696,59.93448275862069,63.61621621621622,59.78125,21,121,10,145,23,32,61.0918918918919,265,29.0,0,287,597,44.0,171,24,3064,1572
273,VIRGINIA,3,6,4,58.568000000000005,59.80540540540541,65.048,61.351351351351354,53.51,34,137,9,146,25,24,51.05675675675676,241,21.0,0,297,567,36.0,192,20,3132,1435
289,W KENTUCKY,5,9,10,59.365625,61.224999999999994,64.76666666666667,62.71666666666667,64.7342857142857,23,126,10,126,16,20,74.36666666666666,195,26.0,1,361,711,44.0,175,18,2465,1354
290,W MICHIGAN,14,7,9,61.017857142857146,62.88125,60.32692307692308,62.809375,61.09655172413793,20,101,8,148,28,26,55.759375,211,19.0,0,267,592,34.0,140,20,2899,1479
285,W VIRGINIA,4,4,6,55.951851851851856,60.166666666666664,61.03846153846154,64.925,64.62333333333333,27,143,5,108,19,29,63.521212121212116,247,23.0,0,296,575,42.0,193,26,3521,1628
279,WAKE,3,7,6,62.425000000000004,62.1425,61.00869565217391,62.95,63.997058823529414,33,106,11,120,16,18,49.917500000000004,320,24.0,0,259,621,42.0,163,23,3334,1538
282,WASH STATE,4,9,5,61.310810810810814,63.57727272727273,60.411764705882355,63.16976744186047,57.99714285714286,39,148,14,173,30,37,62.097727272727276,306,24.0,0,293,606,42.0,211,25,3511,1645
281,WASHINGTON,14,8,6,64.05405405405405,64.9439024390244,62.41935483870968,63.84736842105263,66.04,37,132,8,103,37,45,49.636585365853655,210,21.0,0,284,569,28.0,190,16,2161,1118
294,WISCONSIN,7,4,5,62.975,62.43235294117647,63.58181818181818,61.09117647058823,64.21666666666667,24,111,4,101,26,18,48.68529411764706,202,16.0,0,274,543,25.0,151,12,2132,1043
